instruction,category
Identify and briefly discuss four “commandments” for effective presidential relations with the Congress. Do you think a president needs a good relationship with Congress to be an effective president?,general_qa
"What functions have political parties served in American politics? Assess the strength of each aspect of the U.S. political parties—the party in government, the party as organizations, and party in the electorate.",general_qa
Who is LBJ?,information_extraction
FATF was established in which year?,open_qa
What are the classical states of matter?,open_qa
"What's the difference between a knot, a hitch and a bend?",general_qa
"Based on the reference paragraph, when was the 149th Boat Race?",closed_qa
"Imagine you are planning a menu for Thanksgiving Dinner. Build out a meal with two main dishes, four side dishes and two desserts. I have an aunt with Celiac disease who is vegetarian, so make sure there are options for vegetarians and people with celiac disease in each course, and explain what my aunt can eat in each part of the meal",creative_writing
What is reserve requirement?,open_qa
How much of the earth is covered in land?,information_extraction
"Based on the reference text about coffee, tell me where coffee plants are primarily grown and the most common bean types.",closed_qa
"Given this reference text, what are column stores used for?",closed_qa
Can Solar panels help you maintain power during a storm ?,brainstorming
What factors should I consider before becoming a dog owner?,general_qa
Who was the winner of Top Chef Season 4?,information_extraction
What is the difference between an electric field and gravitational field?,information_extraction
What are good plants to have in your home if you have cats?,general_qa
"Which of the following cars are made by GM? Grand Cherokee, Blazer, F150, Bronco, Corvette",classification
"Based on the given text, please tell me which region and country a Troll Cross originated in, and what its intent is.",summarization
Given this paragraph about the Republic of Finland becoming a member of the North Atlantic Treaty Organisation (NATO) what year did it start a formal relations with NATO?,closed_qa
Change the following to past tense,information_extraction
"What are some of the highest-rated episodes of The X-Files, based on viewer's ratings?",open_qa
What is the color of tennis balls?,information_extraction
Provide me some details about United States attorneys with the given text as a reference.,summarization
"Classify the following based on what kind of animals they are.
rodentia, chiroptera, lizards, primates, crocodiles, soricomorpha, turtles, snakes",classification
What was the first functional submarine called?,open_qa
What are three popular mezzo-soprano arias?,brainstorming
Which medical tool was developed by Sanctorius in 1612,open_qa
"Classify each of the following as either a flying or aquatic animal: salmon, eagle, dolphin, whale, octopus, bat, goose",classification
"In climbing, what is a hand jam?",open_qa
What is Venezuela?,information_extraction
Where is the first Summer Olympics held?,open_qa
What are good tips to drive in the snow?,general_qa
What is Pinot Noir?,closed_qa
Who was the US president when WWII ended?,open_qa
Who was Henry Ford?,general_qa
Give me a list of actresses who won an Oscar in the last 5 years and tell me for which movie they won it.,brainstorming
"If Rosslyn Mountain Boys had produced two more albums, how many albums would they have produced?",information_extraction
What is the show Parks and Rec about?,open_qa
Extract from the paragraph the winner of the 2022 World Snooker Championship.,information_extraction
What makes Alabama Football coach Nick Saban so good at his job?,general_qa
What is it inflation?,open_qa
When did Harriet live in the Andaman Islands?,information_extraction
What is Delta Lake?,general_qa
Why do people use computer mice?,general_qa
Give me a list of the best bikes for riding on roads.,brainstorming
What dispatchable source of power on electric grids are faster than battery storage power stations?,closed_qa
How do banks make money?,general_qa
Which animal is associated with Chengdu?,closed_qa
What was the Golden State Warriors win-loss record in the 1964-65 season ?,information_extraction
Which country has the most inhabitants?,general_qa
"Which of the following two-dimensional shapes are made using only curved lines? And which use only straight lines? oval, rectangle, square, pentagon, circle and rhombus.",classification
"Identify the bird from the list: Pendulum, Bewick's swan, Iceberg",classification
Extract the names of Jesse LaFollette's grandchildren from the provided passage,information_extraction
Given this paragraph about hockey what are different surfaces that hockey is played on?,closed_qa
Where can you find the Citron-bellied attila?,summarization
What does HEMA stand for? ​​,open_qa
Why are some reasons to vacation in New Zealand?,general_qa
What is a mutual fund?,open_qa
Why is the United States Military Academy called West Point?,general_qa
Name three movies with Denzel Washington.,open_qa
Which bird flies the farthest?,open_qa
Why was the model T only produced in black?,open_qa
Give me a list of the most famous tech companies in the world,brainstorming
Write a story about a man who finds a magic lamp that has a genie inside. The genie should grant him wishes and the story should conclude with a tragic ending.,creative_writing
Why were the original Old English Bible translations created?,summarization
What is an index fund?,open_qa
How Is Linux Licensed?,general_qa
How to be rich?,brainstorming
Who is the current manager of Arsenal Football Club?,open_qa
"Given this paragraph about Jack Kerouac, tell me where he was raised, what was his most famous book, when was that book published, and which movement was he a part of?",closed_qa
Why do Jewish holidays begin at sunset the night before?,general_qa
"Based on the given text, List some aspects of the pearl.",summarization
What is a personality test?,information_extraction
Name some titles from the Goosebumps series.,open_qa
What is the best kind of bread?,general_qa
What were the main results of applying statistical analysis to the English language?,summarization
Based on the provided paragraph give a bullet list of the names of the countries (regions) which took part in WWI and their reasons?,summarization
Create a bulleted list of Hawking's accomplishments based on this passage.,summarization
What is the Family of the orchid Bulbophyllum concatenatum?,information_extraction
Who is the first African-American to perform at the Metropolitan Opera?,open_qa
What is Type 2 Diabetes?,summarization
How do I see how large a dataset is in Spark?,general_qa
How many people live in the city of Oakland in 2022?,closed_qa
"Let’s solve the following math problem. Each rabbit has 4 feets and each duck has 2 feets. If there are in total 25 heads and 88 feets, how many rabbits and how many ducks are there?",general_qa
Name some famous songs by the Beatles,open_qa
What kind of boat should I purchase?,general_qa
What was Seward's Folly?,open_qa
What are the main components of AWS Kinesis?,general_qa
Give me a list of video game systems from the past few decades,brainstorming
"Are these things heavy or light? Empty soup bowl, empty shipping container, couch, pillow, apple, pencil, mattress",classification
Classify each of the following words as either a noun or a verb,classification
What is the best place in Thailand,brainstorming
Provide a list of some Japanese art forms I've not heard of.,brainstorming
What is combinatorial optimisation?,open_qa
What is a Keystone?,open_qa
"How best should I travel from London to Edinburgh, UK ?",creative_writing
How can teachers address health disparities in society?,general_qa
What are the best woods for smoking?,open_qa
"Without quoting directly from the text, give me a summary of how rainbows are formed.",summarization
Who is Taehoon Oh?,creative_writing
Give me a bulleted list of cricketers by highest number of international centuries scored,brainstorming
"Identify which animal species is alive or extinct: Indian Elephant, Irish Elk",classification
"Provide a bullet point list of all primary matter phase transitions, with the name of the process following by the matter states involved  Use the format: {process name}: {initial state} -> {final state}",open_qa
"Based on this passage about UCLA, tell me the difference between North Campus and South Campus and which residential areas border the campus.",closed_qa
Should superheroes be allowed to break the law?,creative_writing
"Based on the provided information, when will we achieve AGI?",closed_qa
Which of the following are movies with the actor Deepika Padukone?,classification
What's the first 3 things you do when you wake up in the morning ?,brainstorming
"From the paragraph about Space Needle, tell me where is located, when it was built, how tall the monument is and one more tourist fact about it.",information_extraction
What are some practical applications of Burnside's lemma in combinatorics based on this passage?,summarization
What are the unethical behaviors in the corporate world? Illustrate with an example.,creative_writing
"Identify the bird from the list: Canada Dry, Canada goose, Goosebumps",classification
what are the benefit of meditation?,open_qa
What city is Microsoft Based in?,open_qa
How many national high school records does Shana Woods currently hold based on the paragraph?,closed_qa
What are the two major bacterial pathogens of Anaplasma bacteria?,summarization
are GSIs important to being a global company,open_qa
Extract the locations where Nachum lived from the text below and list them in alphabetical order and separated by a semicolon.,information_extraction
Who are the best college football programs of all time?,general_qa
Which is the capital of Union Territory of Ladakh ?,information_extraction
Give me a list of Tour de France general Classification winners who have won more than 4 times.,brainstorming
"Given a reference text about a singer, tell me when they debuted, what their first release was, and what their most popular song is.",closed_qa
What are Arabic numerals?,general_qa
"From the passage provided, extract the date of birth of Gandhi",information_extraction
What is the only established city of the Dothraki people?,open_qa
"Classify each of the following as either a Sega or Nintendo game: Super Mario Bros, Sonic the Hedgehog, Altered Beast, Road Rash, Legend of Zelda, Ecco the Dolphin, ToeJam & Earl, Metroid, Chrono Trigger, Donkey Kong Country",classification
What stroller should I buy for my newborn baby?,brainstorming
"Based on the following paragraph, list the weather conditions associated with summer around the world.",information_extraction
Provide a 10-step flow for a heterosexual couple's non-religious wedding ceremony.,creative_writing
"Tell me whether these are shoes or clothing brands: Nike, Tommy Hilfiger, Adidas, Levi's, Reebok, Puma, Wrangler.",classification
The Death of Socrates was painted by whom?,open_qa
Why did Georges think that Helene redirected her affections towards Walter Rogers?,closed_qa
What are fast recipes to make for dinner?,general_qa
Write a short blog post about why you have chosen to delete your instagram account and why you think that instagram has an negative impact on society.,creative_writing
What is the capital of Maine?,open_qa
"Given a reference text about the 2008 Pittsburgh Pirates season, what was their record for the season?",closed_qa
Name a battlefield surgeon,information_extraction
What's the best baseball team?,general_qa
please give me a short description about SVB collapse,summarization
Different uses for glass,brainstorming
Give me some suggestions for good South East Asian restaurants near downtown Seattle,brainstorming
"According to the passage, mention some of Taylor’s hit songs after signing for Republic records.",information_extraction
What is Active Directory?,open_qa
Who invented the computer?,general_qa
What is the Phillips curve?,open_qa
Extract the essential tools for a mini survival kit from the following Wikipedia article.,information_extraction
Think up a short list of the best US Presidents,brainstorming
"Identify which instrument is string or percussion: Dholak, Sitar",classification
Why do people like to ski?,general_qa
Where was the first capital of Alaska?,open_qa
"Based on the following paragraph, list the Himalayan peaks that were surveyed and identified during the 19th century.",summarization
What is the difference between football and soccer?,open_qa
Why is steam important when making bread?,general_qa
What are three tips to a successful fishing outing?,general_qa
Extract the awards that Caitlin Clark won during her Junior year season at Iowa State.,information_extraction
What is observer bias,closed_qa
Who is the lead singer of Korn?,open_qa
When did the Post Office in Mission Beach first open?,closed_qa
Which trophies have West Ham won?,summarization
Briefly summarize this paragraph on a Pearl Harbor conspiracy theory.,summarization
Give me a bulleted list of the 5 most recent Pakistani Prime Ministers,brainstorming
When did Porsche stop producing air-cooled engines in the 911?,closed_qa
How do people get where they want to go,general_qa
What are some common types of lettuce used in salad and other dishes?,brainstorming
Where can I go to find out what is on the ballot for any given election in Wisconsin?,general_qa
Give me a list of the best movies I've never seen.,brainstorming
Give me a list of Premier League winners and runners-up in the last 5 years.,brainstorming
"Of the cities listed, which was furthest from the station?",closed_qa
"Which is an imperial or a metric measurement: pint, millilitres",classification
What is Allsvenskan?,open_qa
How would you describe genomics?,brainstorming
Explain Storage Credential and External locations used in conjunction with Unity Catalog to a five year old.,general_qa
Give me a list of things to ask while triaging a support ticket,brainstorming
Was the hermit hummingbird hawkmoth described in the 20th or 21st century?,closed_qa
Where are the best places to buy hardware supplies?,brainstorming
What are some modern examples of companies that have harnessed the power of network effects?,summarization
"I am planning a trip to Spain. I am interested in culture, museums and art, but I also want to go to the beach and have great food. What are 5 places that I should definitely visit?",creative_writing
Who is the visual of the kpop group Twice?,open_qa
"There are many different types, styles and genres of dance. Categorize these dances based on the their style;

Mambo, Kizomba, Robot, Jazz dance, Lady hop, Rumba, west coat swing, Boogaloo, blues",classification
What are common gaming consoles used to play video games?,open_qa
Who is Bryan Adams,summarization
Is it safe to invest in cryptocurrency?,open_qa
Give me three reasons why cactuses aren't real.,general_qa
"Given a reference text about dried spaghetti production, what is required to produce spaghetti without errors?",closed_qa
What is an acoholic?,open_qa
Which English football club has won the most FA Cup trophies?,closed_qa
What are the most important metrics for a Sales Leader?,brainstorming
What’s it like living in NYC compared to other US cities?,general_qa
Why is my buttercream frosting not white?,creative_writing
Given this paragraph are Beavers the largest living rodents?,closed_qa
Who developed Pilates?,summarization
What is Equity theater?,summarization
What type of products does this company produce?,closed_qa
What is sourdough bread?,general_qa
What is considered as DACH region?,open_qa
What is 75 hard and what are the tasks?,brainstorming
What can people do to entertain cats?,open_qa
Tell me about the album The Any Day Now,closed_qa
What is the use of a vaccine?,information_extraction
What are Gummi Bears called in England?,open_qa
"What is the difference between bills, notes, and bonds?",open_qa
What steps can I take to avoid getting hit by a falling window from a skyscraper while walking about in downtown during high winds?,brainstorming
What cause toe fungus?,open_qa
"Tell me whether each of these positions is in soccer or baseball: shortstop, outfielder, midfielder, forward, goalie, catcher",classification
Which country is the state of Illinois apart of?,open_qa
What are three popular movies with Steve Carell?,open_qa
What are the main ingredients of deviled eggs and what are some unique add-in ideas?,brainstorming
What is Your Lie in April about?,summarization
What is the best private Jesuit research university in Boston ?,closed_qa
"Given this reference on Yorkshire Terriers, tell me where they originate from, and what are their typical size and color.",closed_qa
Why is the Chrysler Hemi V8 so legendary?,general_qa
Provide all the key information about how the look and the names for the white ibis,summarization
Who is Laika and why is she famous?,closed_qa
What is wholesale banking?,open_qa
Classify these foods as proteins or carbohydrates,classification
what are the rules of cricket ?,summarization
"Give this paragraph abount Battle of Adwa between Ethiopia and Italy, who were the commanders on Ethiopian side.",closed_qa
"If I give you a list of weapons, can you break them into melee and ranged. The list is knife, bow, axe, shotgun, mace, whip, rifle and cannon.",classification
Tell me a terrifying fact about moray eels.,general_qa
What is the climbing history summary of Gurla Mandhata?,summarization
Extract the current points scoring table for current Formula 1's grand prixs in the form of [Place of Finish- Points Scored],information_extraction
"Which of the following countries are in Europe and which are in the rest of the world: Nicaragua, Australia, Austria, New Zealand, Morocco, Spain, Greece, China, Chile?",classification
"Which of the following foods could a vegan eat and which would they have to avoid: egg, almond milk, cheese, gelatin, chicken noodle soup, lettuce, and bread.",classification
Why are sports so popular?,general_qa
Why would an oil and gas exploration company utilize directional drilling in their drilling program?,general_qa
"Given a reference text about Hackpad, what company acquired it?",closed_qa
List the actors and actresses who were included in the cast of the movie Avengers: Endgame.,information_extraction
Is cricket game popular in some parts of the world?,general_qa
"From the passage provided, extract the name of the first non-European to win the Nobel Prize in Literature.",information_extraction
Who was William P. Bolton,summarization
"From the passage provided, extract the city where Elizabeth Taylor's parents were from",information_extraction
What are some of the best vegan protein sources,brainstorming
What was the first living creature sent into orbit around Earth?,open_qa
What is a hadron?,open_qa
What are the songs on the album At Basin Street?,brainstorming
To acquire Swedish citizenship by naturalisation what should be the minimum age of the applicant and what documents are required.,closed_qa
"Tell me if the following music pieces are considered classical music, jazz music or pop music? The magic flute, Kind of blue, Wish you were here, Bach's Saint John Passion, Take five, We are the champions.",classification
Who is the best cricketer in the world,brainstorming
How can I make every color of paint?,open_qa
What is postmodernism?,closed_qa
Which is the largest American Football stadium,summarization
Who are the last 7 men's icc world cup winners in ODI?,brainstorming
Which season three episode did Alik Sakharov direct in Game of Thrones?,open_qa
which country has the least diverse food?,brainstorming
What does the software company Teamwork do and where is it located,closed_qa
"In YAML tell me a list of teams mentioned in the text. It should be in the form `location: ${location}`, `mascot: ${mascot}`",information_extraction
"Mahatma Gandhi gave a slogan on Aug 8, 1942 .What was the slogan?",open_qa
What does a typical financial planning and analysis team structure consist of?,general_qa
What is the right time to do workouts or yoga?,general_qa
"Name three dishes that were developed from conditions of scarcity or having to ""make do” with available materials or ingredients.",brainstorming
Who are the greatest players that have played for Manchester United?,brainstorming
When was the last financial crisis and what caused it?,open_qa
What was the first toy to be advertised on television?,open_qa
What are specific reasons for seasons?,open_qa
What is a knowledge base?,open_qa
What city is WFSD Radio licensed to?,closed_qa
"tell me whether these are European or American cities: New York, Milan, Paris, Chicago, San Francisco, London",classification
Are UGGs considered fashionable?,general_qa
How to choose the next company you work for?,general_qa
"What are the India’s Foreign Exchange Reserves as on week ended Sept 23, 2022?",open_qa
"Extract which animals Waddell played with and which ones he fought with from the text. Separate them with a comma, putting the ones he played with first.",information_extraction
Who recorded the song Ghost Town,closed_qa
Why don't women have beards?,open_qa
How do sailplanes (gliders) stay aloft?,open_qa
"Of these senior crew members of the HMS Bounty, which turned out to be mutineers and which were loyalists:  William Bligh, John Fryer, Fletcher Christian, William Cole, William Peckover, William Purcell, William Elphinstone, Thomas Ledward, John Hallett, Thomas Hayward",classification
Name a good ski mountain in Vermont,open_qa
What is the company zoom?,open_qa
"Tell me whether these are famous as actors or authors: Russell Crowe, Tom Hanks, Jamie Lee Curtis, Joanne Woodward, Sara Jessica Parker, Tom Cruise, Alexander Dumas, JK Rowling, Ingrid Bergman, Grace Kelly,  Judi Dench, Kate Winslet, Jodie Foster, Doris Day, William Shakespeare, Jalal al-Din Muhammad Rumi",classification
Who is Lee Jung-sik,summarization
Can cats communicate?,information_extraction
What was the relationship of the person who became MD at Grandmaster Capital Management to Paypal?,information_extraction
What is SaaS?,brainstorming
What family was well known for their power in Renaissance Italy?,open_qa
"Classify each of the shapes as having 3, 4, or 5 sides: square, rectangle, pentagon, rhombus, triangle",classification
Is the headquarters of Surrey County Council in Surrey?,general_qa
How long does it take to golf 18 holes?,open_qa
What is the solar system?,closed_qa
Which is a species of fish? Lizard or Lizardfish,classification
"Tell me whether these are dogs or cats: bulldogs, poodles, huskies, collies, shepherds",classification
tell me about the whole world,information_extraction
"Extract the years that Ayrton Senna da Silva won the Formula One World Championship, and put them separated by comma.",information_extraction
Extract the Greek cities mentioned in the below text and list them from smallest to largest,information_extraction
"For whom is Daenerys Targaryen's dragon, Viserion, named for?",open_qa
Do Africans share the same origin and culture?,summarization
What is St. Peters Basilica?,open_qa
What are the best cliffs in Ireland?,brainstorming
Who was the first computer programmer?,closed_qa
Who is Silvio Micali?,closed_qa
What are some of the famous festivals of India?,open_qa
What is the name of Google's email service?,open_qa
What is the meaning of life?,general_qa
"Given a polynomial x^2 + 2x + 1, what is x?",open_qa
Give me a list of the best cell phone brands besides Apple,brainstorming
When is the best time of year to visit the Smoky Mountains?,open_qa
Write a few sentences about why people who live in the Bay Area of California are moving to the Sacramento area.,creative_writing
When did the maximum rate of water usage begin to be mandated?,closed_qa
How was Napoleon defeated?,information_extraction
"Given this question about tourism, what country is the 6th most visited country?",closed_qa
"Give me an idea for a country to travel to that is safe, inexpensive and does not fall into the well trodden tourist path?",brainstorming
Why do we watch television?,open_qa
What streaming shows are worth binging right now?,brainstorming
What is electrostatics the study of?,information_extraction
"From the below text about MS Dhoni, tell me what they were most famous for?",closed_qa
When did World War II finish?,general_qa
Who is the Zurich Insurance,summarization
How accurate are future weather forecasts?,general_qa
Tell me who are the top 5 leading scorers of all time in the NBA,classification
Extract the most famous songs of the slashtones in a comma separated list.,information_extraction
"Classify these programming languages to compiled or interpreted: shell script, erlang, rust, python, javascript, C++, go",classification
What are Riot Games' most popular games?,open_qa
What is the state capital of Nevada?,brainstorming
Why is the glass ceiling better for minority women?,closed_qa
What are some of the most important attributes of spacecraft battery and how are these attributes realized?,open_qa
Why many people do not like pigeons?,general_qa
What is the reported biodiversity of Costa Rica?,general_qa
Imagine you are a grandparent who wants a grandchild. Write a persuasive argument to your children.,creative_writing
Give me a list of the teams that have won the English Premier League,brainstorming
What is the population of Canada?,brainstorming
"Identify which animal species is alive or extinct: Velociraptor, Pacific Salmon",classification
"Which of the following is not a Hemsworth brother? Chris, Liam, Reginald, Bobert, Robert, Luke",classification
What does kwon mean in taekwondo?,closed_qa
Extract the reasons the Atcama Desert is one of the driest places on earth and list them in bullet format.,information_extraction
What was the primary reason for constructing the Berlin Wall?,information_extraction
how to get started with data science and machine learning?,brainstorming
"From the text provided, extract the name of the most profitable public banking company in Sri Lanka. Include the profit and revenue in US dollars.",information_extraction
Who was the lead singer for the band Aerosmith?,open_qa
"Given this paragraph about Twitch, during what year did twitch have more than 100 million viewers per month?",closed_qa
What is structural biology?,classification
What country most recently joined NATO?,open_qa
Where was Old French language spoken?,closed_qa
How should I pick a name for my baby?,general_qa
What are some highlights of Lionel Messi's career goals?,summarization
How can I go from my couch to running a 5K in 3 months?,general_qa
What is the best breakfast to order when out with friends?,creative_writing
Who are Sinti people?,information_extraction
"Given a reference text about Joseph Charlton, what college football team did he play for?",closed_qa
Does Arizona use Daylight Savings?,open_qa
Why should you live in Florida?,creative_writing
What famous character did William B. Davis portray?,open_qa
Based on the above passage what are the heavier elements which are more fissionable?,information_extraction
Write a leave letter to your teacher.,creative_writing
Name ten Shakespeare plays,open_qa
How many countries in Europe do have the Euro as monetary currency?,closed_qa
What did the Triceratops use their horns for?,information_extraction
How to become a millionaire?,general_qa
What are Singapore main geographical points according to this text? Bullet point please.,information_extraction
How many variants of the PrintNightmare existed?,summarization
provide the list of the List of American foods that is related to breeds,summarization
write some critical points on University of Sfax using below text as a reference,summarization
What are some great comets named after people?,brainstorming
What is a sleeping bag?,open_qa
"From the following list of movies, please tell me which ones are comedies, dramas, horror, or action: When Harry Met Sally, The Exorcist, The Godfather, Mission Impossible",classification
Who is David Dicks?,summarization
What is the difference between a violin and a viola?,open_qa
Who would win between a boxer and an MMA fighter?,brainstorming
Why you need to save Money,brainstorming
What is a stock index?,open_qa
list 7 favourite flavours,brainstorming
"Tell me whether each airline is American or European: British Airways, United Airlines, Southwest Airlines, Jet Blue, Easy Jet, Ryan Air",classification
"Given this text, summarize the major events in Call of Duty: Modern Warfare 2 game development and release.",closed_qa
"Describe a plan for a road trip from Las Vegas to West Grand Canyon, including stops for visiting Hoover Dam and lunch. Your plan should include a budget, a timeline, and a description of the sights, for a group of 7 friends.",creative_writing
Extract the number of men and women living in the municipality of Paradela and list them using bullets in the format {men} - {number} and {woman} - {number) in a comma separated format.,information_extraction
What are the co-founders of Tesla Motors?,open_qa
What is the difference between a refractor telescope and a reflector telescope?,open_qa
"Identify which instrument is string or percussion: Celesta, Masenqo",classification
"What should I do if I disagree with a friend, co-worker or family member on something I feel passionate about, such as politics?",general_qa
What is the Indianapolis 500?,summarization
"From the passage provided, extract the country which hosted the 2022 world cup.",information_extraction
How to lose weight?,brainstorming
Which company built the F-22 Raptor?,closed_qa
From the passage mention the name of the kids of Nita Ambani. Display the results in comma separated format.,information_extraction
Give me a list of 1980s computer games.,brainstorming
What are the names of five of the best Pokemon cards and why?,brainstorming
"Who is Frank Lloyd Wright, and why is he famous?",closed_qa
Who is Juliette Roche?,summarization
What was Selective Service Act?,open_qa
Is the sun hot?,open_qa
"Classify each of the following as either a Carnivore or a Herbivore: Cow, Shark, Zebra, Lion, Wolf, Elephant, Tiger, Deer, Leopard, Cheetah",classification
"Which of the following numbers is a irrational number: -200, -1.5, -1, 0, 1, 1.5, 200, pi, e, sqrt(-1)?",classification
"Given the reference paragraph, when was the CUBC formed?",closed_qa
Where are good locations to scuba dive?,brainstorming
What is a fishing vessel?,information_extraction
In what way did Étienne Halphen interests lead to him discovering the harmonic distribution?,information_extraction
"Given a reference text about the Kumanichi Road Race, tell me when the race was first held and who holds the course records.",closed_qa
Give a summary of Manhattan Project,summarization
What is a derivative in finance?,open_qa
What would happen if I ran barefoot? Is it good for me?,general_qa
"In the series A Song of Ice and Fire, who is the founder of House Redbeard?",open_qa
"Categorize these as a person, place, or thing",classification
Why USA is best ?,brainstorming
What's the Moroccan infrastructure ?,summarization
What advise would you give  on touring India?,general_qa
What is React?,open_qa
"Given this paragraph, who wrote ""August?""",closed_qa
"Based on this paragraph, who directed White Rabbit?",closed_qa
What are some reasons you might be late to a party?,brainstorming
Who were the original Fantastic Four in the comics?,open_qa
What's the most popular tv show of all time in the USA?,open_qa
"Given these paragraphs about Large language models, what is the prompting paradigm?",closed_qa
When was the last time the Raiders won the Super Bowl?,open_qa
What is locus (in genomics)?,open_qa
What is a difference between baseball and cricket?,open_qa
Where does the Golden Retriever originate from?,information_extraction
"Which of the following are cities in the PNW in the US: Seattle, Portland, Hillsboro, Eugene, Tacoma, Vancouver, Surrey, Richmond.",classification
Make a packing list for a picnic at the beach.,brainstorming
Who is Mahatma Gandhi?,information_extraction
"Which characters belong to DC or Marvel Universe? Catwoman, Black Cat",classification
describe experience of child fighting with autism,creative_writing
What are the main points in this article,summarization
How would you describe Dance?,information_extraction
Why do players smear black under their eyes?,open_qa
Why Italy is known for,brainstorming
How many hands do humans have?,open_qa
What is email?,open_qa
What does BAFTA stands for ?,open_qa
List some beverages that you can buy at Starbucks.,open_qa
How fast can an ostrich run?,open_qa
"From the passage below, please extract the official starting date of the United States Space Force.",information_extraction
"Based on this paragraph, during what year was Hearst born?",closed_qa
"Classify each of the following as either a title by Margaret Atwood or Mary Shelley: The Handmaid's Tale, The Testaments, The Edible Woman, Oryx and Crake, The Year of the Flood, Frankenstein, The Last Man, Lodore, The Mortal Immortal, Maurice",classification
"Tell me whether each of these are green or yellow: lemon, lime, cheese, spinach, lettuce, spaghetti",classification
Which of the other locations mentioned in this article is closest to Rudzk Duży?,closed_qa
"Identify which instrument is string or percussion: Chime bar, Pinaka vina",classification
Why is sleep training your baby important?,general_qa
Who were the Sumerians?,open_qa
Provide a list of cities you drive through to get from San Diego to Phoenix,brainstorming
"Classify these technologies as frontend or backend oriented: React, Kafka, MySQL, JavaScript, gRPC, SQL, Prometheus, Android, Swift, Redis, JDBC",classification
What is the length of a championship rowing race?,summarization
What should I get my wife for mother's day?,brainstorming
Hip Hop song Make Me Proud,summarization
how to become a yoga instructor?,brainstorming
Come up with short road trips from Berkeley that I can drive to within two hours.,brainstorming
"Identify which instrument is string or woodwind: Bassoon, Mandolin",classification
what is the capital of China?,open_qa
Create a comma separated list of the countries involved in the early cultivation of avocados,information_extraction
What causes Type 2 Diabetes?,summarization
Why did Kim Kardashian and Ye divorce?,general_qa
Can you give me some reasons why Hockey is not as popular in the United States as many other sports?,general_qa
"First you'd need to consider what you're using it for. Exercise bikes can be very different from commuters or casual ride bikes or velodrome racers. Another consideration is budget: bikes can range from a couple hundred dollars in price to several thousand. Accessories can dramatically increase the price as well.

For general, all-purpose bikes you may want to consider a commuter bicycle. It would have a wider, thicker wheel than a road bike so it would be a little sturdier for urban roads. They tend to be a bit heavier, so there is a tradeoff.",general_qa
what is the difference between a rat and a mouse,open_qa
How old was Mozart when he first performed?,open_qa
Kaka means parrot in which language,open_qa
Who is best Michael Schumacher or Hamilton,brainstorming
What is orange wine?,general_qa
What is behavioural economics?,open_qa
What are three capital cities in South America?,open_qa
Who were the commanders of the two armies involved in the Battle of Hastings?,open_qa
"Identify which instrument is string or percussion: Daf, Bandura",classification
"I want to write a some new articles for my data blog, can you give me some snappy ideas?",brainstorming
How long will it take me to train for a marathon?,general_qa
"What is a good park in Redmond, WA",open_qa
What is SQL?,open_qa
"Given the following paragraph, where did House music originate?",closed_qa
"Where is the ""Prairie Chicken Capital of the World""?",summarization
What is the biggest dog breed in the world?,open_qa
"Extract from the passage, the first engine in the Jeep Compass",information_extraction
Can you name a few of Leonardo's famous works,closed_qa
What year was Craigslist founded?,information_extraction
List five titles by Margaret Atwood.,open_qa
What basic tools should I keep around the house?,general_qa
"Given this paragraph about e-readers, what is the e-reader designed and marketed by Amazon?",closed_qa
what is snow skiing,closed_qa
Where is the baseball Hall of Fame?,open_qa
From the passage provided find how many runs did shane warne concede in the three-day first class match at the Brabourne Stadium,information_extraction
Where are Himayalas located?,closed_qa
What is Violet Jessop well know for?,closed_qa
"Based on this passage, what was the first designated space to be established in Roche Percee called? Who established it and in what year?",closed_qa
Give me a bullet list of five different European languages,brainstorming
What is the best way to file California State Tax for Spouse Abroad in community property jurisdiction countries like China? The goal is to minimize the tax for community property income.,open_qa
Extract comma separated list of the names of the tenants of the Willis Tower from the text.,information_extraction
What is a snowman?,open_qa
What is Linux?,open_qa
Who invented the Jeans,summarization
What is the best way to answer an interview question?,creative_writing
What is the Bastille Day?,information_extraction
Why is March 14th Pi day?,general_qa
"Can you tell me about Hyderabad, India?",information_extraction
Summarize the given text in several sentences.,summarization
Which player has won the most Superbowls?,open_qa
Where is Michael Phelps from?,open_qa
"The music room contains the following instruments: Drums, Violin, Cello, Gong, Viola, Xylophone, Guitar, Ukelele and Piano. You need to put percussion on the left hand side and strings on the right. First, group the instruments into percussion and strings.",classification
Give me a bulleted list of the 5 top-grossing movies of all times.,brainstorming
"Classify the following drinks as alcoholic or non-alcoholic: Bourbon, Whiskey, Vodka, Lemonade, Iced Tea",classification
"What is the pattern in this sequence and what is the next number: 0, 1, 1, 2, 3, 5, 8, 13",open_qa
"Tell me which of the following are science fiction TV shows: Lost, The X-Files, The Mandalorian, Millennium, Game of Thrones.",classification
Write a haiku about a naughty cat.,creative_writing
What are the key components to landscaping?,summarization
Why does my chicken create so much liquid when cooked in the skillet?,creative_writing
How does manufacturing analytics improve production?,general_qa
"From this reference text, what political party does Taylor Swift belong to?",closed_qa
Who is the greatest tennis player of all time?,general_qa
"Classify each of the following as being opaque or transparent: Window, wall, lens, glass, wood, cement",classification
"Given this reference text about Jimmy John's, where was the original Jimmy John's located?",closed_qa
Where did Danny Dayton graduated from?,summarization
What should I do if I'm feeling depressed?,general_qa
